Power Generated;Date;max_temp;min_temp;grass_min_temp;rain;pressure;wind_speed_avg;highest_mean_wind;wind_dir_deg;highest_gust;soil_temp;potential_evapotranspiration;evaporation;radiation
0;01/01/2016;10.9;6.2;1.3;24.6;997.6;20.2;32;130;47;7.666;1;1.5;35
2.1;02/01/2016;10.6;6.7;6.9;12.5;993.4;16.9;26;290;35;8.059;0.5;0.6;379
0.4;03/01/2016;10.9;8.1;4.4;11.6;981;21.6;31;250;42;8.497;0.6;0.8;181
1.3;04/01/2016;10;7.9;7.5;6.8;975.2;17.9;25;260;35;8.217;0.7;0.9;161
1.9;05/01/2016;10.4;8.1;6.3;0.1;986.4;12.3;19;320;26;7.618;0.9;1;335
0;06/01/2016;11.2;7.8;5.4;12.1;984.7;15.1;29;160;41;7.774;0.8;1.1;60
1;07/01/2016;8.8;4.8;3.4;8.7;983.7;19.4;32;300;43;6.7;0.6;0.8;343
0.9;08/01/2016;8.8;4;3.6;12.5;988.6;11.6;25;250;37;6.349;0.6;0.8;95
0.3;09/01/2016;8.6;3.7;2;7.3;980.1;12.1;21;170;33;6.093;0.7;0.9;152
1;10/01/2016;8.3;3.1;2.5;7.7;977.8;11;22;210;29;5.501;0.7;0.8;190
0.3;11/01/2016;8.9;4.2;1.1;1.7;987.1;11.4;23;310;32;5.76;0.6;0.8;244
4.5;12/01/2016;8;3;2.6;0.4;1007.3;11.3;27;300;36;4.745;0.8;0.9;442
0.4;13/01/2016;8.2;2.8;0.3;4.8;1010.5;16.4;27;290;37;4.875;0.9;1.2;136
4.6;14/01/2016;7.3;3.7;2;0.5;1015.6;9.9;23;310;34;4.328;0.6;0.7;485
4.6;15/01/2016;8.6;4.2;0.6;3.3;1026.6;10.2;26;310;36;4.586;0.4;0.5;502
0.9;16/01/2016;9.7;3.6;2.1;0.5;1025.7;6.2;13;170;16;6.516;0.3;0.4;249
0.2;17/01/2016;10.1;8.5;3.2;19;1010.8;18;29;170;38;8.028;0.7;1.1;47
0.7;18/01/2016;10.1;7.7;7.9;1.1;1004.3;8.3;16;110;22;8.98;0.3;0.4;201
0.7;19/01/2016;9.2;6.3;6.2;0;1011.1;6.8;16;120;22;7.891;0.4;0.6;195
0.4;20/01/2016;10.9;8.4;5.3;10.7;1007.8;17.9;23;160;32;8.673;0.5;0.8;100
0.2;21/01/2016;11.6;10.2;8.3;5.4;1002.1;18;24;170;32;10.275;0.2;0.5;164
3.5;22/01/2016;12;9.8;8.5;2.3;1008.4;20.1;28;230;36;9.863;0.6;0.8;467
0.1;23/01/2016;11.8;9.6;7.4;6;1015.5;17.8;29;170;39;9.557;0.6;0.8;68
0;24/01/2016;12.4;11.3;8.9;0.1;1010.3;21.3;26;160;34;11.105;0.4;0.7;169
4.8;25/01/2016;12.3;8.9;9.9;0.7;1007.3;23.4;35;200;44;10.165;0.8;1.2;539
0.1;26/01/2016;12.1;10.2;7.8;13.7;1002.3;29.3;46;200;57;10.523;0.7;1.2;117
4;27/01/2016;12.2;5.1;6.7;1.5;1005;21.1;32;290;45;8.733;0.8;1.2;359
0;28/01/2016;11.3;7.6;3.4;1.9;1015.9;24.7;32;230;43;8.042;1.2;1.8;119
2.3;29/01/2016;11.4;7.6;7.3;4.2;1010.6;24;37;230;49;9.39;0.8;1.3;256
1.2;30/01/2016;8.4;4;1.8;1.6;1008.8;17.5;30;270;43;6.566;1.3;1.7;349
0.1;31/01/2016;12;7.7;3.8;2.5;1006.2;24.8;32;260;42;9.58;0.7;1.1;123
2.7;01/02/2016;11.9;7;8.8;1.5;1011.2;28;36;260;47;9.389;1;1.6;516
3.6;02/02/2016;8.7;5.1;4.3;;1017.5;21.2;30;270;44;6.659;1.3;1.8;567
3.7;03/02/2016;10.4;4.7;2.9;1.5;1025.3;15.9;29;290;40;6.22;0.7;1;476
0.3;04/02/2016;10.7;9.4;5;0.6;1022.9;15.3;24;270;31;9.573;0.6;0.8;299
0.4;05/02/2016;10.2;6.4;8;7.3;1008.1;20.6;37;200;46;8.323;0.9;1.3;182
1.8;06/02/2016;9.8;5.5;4.6;9;986.6;25.7;33;260;46;7.491;0.9;1.5;369
0.2;07/02/2016;11.4;4.6;3.5;11.4;982.6;30.5;49;250;69;6.768;1.1;1.9;203
2.6;08/02/2016;8.9;4.1;4.6;3.8;983.5;37.7;54;250;73;6.795;1.4;2.6;543
4.6;09/02/2016;7.4;4.2;1.6;1;991.4;21;32;290;44;5.169;1.4;2.1;596
4.3;10/02/2016;10;6.1;2.9;0.2;999.3;14.1;23;280;31;6.022;1.6;2;885
2.4;11/02/2016;8.8;5.3;3.4;5.8;994.3;11.1;20;250;26;6.418;1;1.3;672
5;12/02/2016;9.5;5;4.2;1.2;984.6;7.2;18;70;25;7.247;0.7;0.9;650
2;13/02/2016;8.9;5.6;3.1;11.8;981.3;10.8;23;280;33;7.076;0.8;1;347
7.3;14/02/2016;7.5;3.3;3.7;1;1002;14.5;24;40;30;6.118;0.8;1.2;830
8.6;15/02/2016;8.3;2;-4.1;0;1026.2;8.8;20;190;24;5.011;1;1.3;943
0;16/02/2016;10.3;6.3;3.6;18.4;1020.5;25.1;35;200;43;7.781;0.7;1.2;85
7.4;17/02/2016;7.4;3.2;4.4;2.4;1012.2;10.6;18;290;28;6.698;0.9;1.3;857
8;18/02/2016;8.4;1.4;-2.9;1.2;1013.7;9.2;23;280;34;5.03;0.8;1.2;857
1.4;19/02/2016;10.5;7;0.8;1.7;1010.3;19;27;200;33;8.187;0.8;1.2;433
0.1;20/02/2016;11.1;9.6;8.8;0.3;1009.6;25.4;33;250;41;9.47;0.7;1.2;195
0;21/02/2016;11.1;8.6;10.3;0.8;1008.7;23;29;240;36;10.18;0.5;0.9;229
1.8;22/02/2016;8.7;3.9;6.3;0.1;1011.5;6.2;12;10;15;8.004;0.7;1;410
8.7;23/02/2016;8.7;1.2;-2;0;1016.4;9.3;17;110;22;5.636;0.9;1.4;1065
9.6;24/02/2016;8.4;1.7;0;0;1017.7;9.7;15;40;19;5.09;1.5;2;1148
2.6;25/02/2016;8.3;0.9;-3.3;7;1011.9;8.9;22;170;32;4.768;0.8;1.2;622
2.5;26/02/2016;7.6;3.6;3.8;7.1;1001.9;14.4;28;10;37;6.285;0.8;1.3;629
4.5;27/02/2016;7.7;2.5;1.8;9.7;1008;15.2;28;10;36;5.573;1;1.5;495
7.5;28/02/2016;8.5;0.8;-2;0;1020.9;7.4;13;80;17;5.225;1.1;1.5;1093
0.3;29/02/2016;10.7;6.7;-0.4;4.3;1018.6;18.2;25;200;31;7.287;1.1;1.6;256
3;01/03/2016;10.7;4.7;7.5;4.7;1009.6;25.5;34;270;54;8.969;0.8;1.5;638
5.6;02/03/2016;9.8;4.7;2.8;4.6;1008.8;26.8;43;300;59;6.768;1.7;2.8;851
1.4;03/03/2016;9.9;4.3;4.8;2.2;1004.6;14.9;28;280;38;6.703;1;1.5;479
4.6;04/03/2016;9;2.6;-0.4;1.1;998.6;16;27;350;38;5.457;1.5;2.3;949
6.5;05/03/2016;9;4.8;2.7;0.2;1009;12;23;350;30;5.475;1.6;2.3;963
1.1;06/03/2016;8.9;3.3;-3.8;4.4;1007.8;10.1;23;320;33;5.509;0.9;1.3;594
7;07/03/2016;9.8;5.8;4.2;0.5;1013;10.9;18;320;27;6.798;1.6;2.3;1160
4.2;08/03/2016;10.5;6.1;5.6;8.4;1006.4;13.3;24;310;31;8.036;0.9;1.4;687
4.5;09/03/2016;9.3;5.1;3.7;0.4;1008.5;16;28;320;40;6.679;1.8;2.7;1188
1.2;10/03/2016;9.8;7.3;5;0.5;1020.6;4.6;10;300;13;7.894;0.8;1;356
0.5;11/03/2016;10.6;9.2;8.1;0.4;1022.8;10.5;16;200;20;9.31;0.6;1;377
2.7;12/03/2016;11.7;9.4;8.5;0;1025;11.1;17;200;19;9.765;1.1;1.6;608
5.8;13/03/2016;12.5;7.8;8.6;0;1029.1;8.3;11;90;16;10.377;1.4;2.1;1116
8.4;14/03/2016;9.2;6.3;4.8;0.2;1027.2;14.2;21;100;28;7.997;1.2;1.8;774
3.4;15/03/2016;8.7;2.9;4.8;0;1026.6;12.5;19;90;27;6.79;1.2;1.8;586
4;16/03/2016;11.2;3.7;0.2;0;1027.5;9.9;16;90;22;7.695;1.1;1.6;768
3.5;17/03/2016;9.3;3.7;4.2;0;1026.4;12.6;17;100;23;7.853;1.2;2;1058
11.1;18/03/2016;9.4;2.3;0.6;0;1025.5;8.1;13;120;17;7.186;1.4;2.1;1575
1.5;19/03/2016;8.2;3.5;-1;0.1;1025.7;10.3;16;50;20;6.46;0.9;1.2;241
7.1;20/03/2016;8.3;4.9;4.7;0;1025.7;5.7;10;50;14;7.959;1.4;1.9;1092
3.8;21/03/2016;8.1;5.7;4.2;0;1022.4;3.9;8;200;9;7.857;1;1.3;523
0.8;22/03/2016;8.4;6;3.9;0;1017;3.1;6;200;7;7.629;0.8;1;251
4.5;23/03/2016;11.6;6;2.9;0.4;1013.4;7.9;15;220;21;9.185;1.3;2;1091
2.9;24/03/2016;10.8;6.8;7.6;6.8;1008.4;13.5;25;210;34;9.195;1.2;1.8;665
4.5;25/03/2016;11.3;7.3;2.9;0.3;1004;18.4;33;190;41;8.883;1.5;2.7;1307
2.5;26/03/2016;10;5.7;7.5;13.5;989.7;20.1;32;260;44;8.466;1.2;2.1;745
6.7;27/03/2016;9.6;4.6;2.5;3.7;985.4;18.5;36;250;49;7.734;1.6;2.9;1334
7.2;28/03/2016;8.8;4.9;3.5;4.6;989;11.4;24;250;31;7.707;1.5;2.3;1097
6;29/03/2016;8.3;4.3;1.5;4.2;997.1;16.5;33;230;45;7.005;1.5;2.6;1174
8.3;30/03/2016;10.7;5.8;3.8;0.3;1006.9;8.4;15;250;19;8.406;2.1;3.1;1843
7.8;31/03/2016;10.2;3.2;-2.5;0;1014.4;10.1;26;190;33;8.347;1.8;2.9;1866
1.2;01/04/2016;10.1;7.6;7;11.3;1006.4;19;35;190;43;9.001;0.9;1.5;400
3;02/04/2016;11;6.3;4.4;0.1;1001.2;4.9;14;80;17;9.394;1.1;1.5;778
3.4;03/04/2016;12.5;7.4;7.3;0.4;995.7;5.8;13;130;16;11.472;1.8;2.6;1626
6.3;04/04/2016;12.6;6.2;3.9;0.3;1000.2;6.5;13;350;17;10.618;1.7;2.5;1457
8.5;05/04/2016;10.8;6.8;0.8;0.6;1007.1;11.1;23;230;32;10.298;1.6;2.7;1630
7;06/04/2016;9.4;5.3;5.8;2.5;1009.5;22.2;34;280;48;8.983;1.6;3.2;1650
6.2;07/04/2016;10.9;5.1;3.8;1.5;1015.2;14.7;25;290;35;8.714;2.1;3.5;1822
4;08/04/2016;10.1;3.7;5.5;4.8;1009.5;14.3;27;300;33;8.894;1.1;2;1169
6.9;09/04/2016;7.4;2.3;0.6;1.3;998.8;10.4;23;260;32;7.106;1.7;2.7;1540
1.1;10/04/2016;9.2;2.7;1.2;33.3;991.3;19.5;35;90;46;6.62;0.9;1.5;353
9.8;11/04/2016;11.1;4.8;4.1;0.1;1000.3;10.5;17;100;25;8.903;1.7;2.8;1687
9.9;12/04/2016;11.6;3.7;2.6;1.2;1002.4;10;14;100;18;10.149;1.8;3.2;2170
6.4;13/04/2016;12.3;8.7;7.4;1.2;1002.5;10.9;15;90;21;11.823;1.8;3.1;1850
6.3;14/04/2016;13.1;7.8;7.3;0;1004;12.7;20;80;28;11.328;2.1;3.5;1945
7.2;15/04/2016;11.6;5.1;4.3;0;1004.3;10.5;21;0;27;9.89;2.3;3.4;1581
7.7;16/04/2016;10.2;4;2.1;0;1009.8;11.2;18;0;24;8.113;2.5;3.7;1715
5.6;17/04/2016;9.4;3.5;-2;0;1016.7;7.5;15;240;18;8.158;1.8;2.7;1419
3;18/04/2016;11.4;8.8;6.2;0;1021.8;9.4;15;250;18;9.592;2.1;2.9;1065
9.5;19/04/2016;12.7;7.1;7.5;0;1024.6;9.9;16;90;22;11.54;2.5;4;2327
10.7;20/04/2016;12.7;6.5;5.4;0;1022.4;16.6;24;70;32;10.2;2.9;4.8;2146
2.6;21/04/2016;12.2;9.7;7.6;0;1019.3;13.9;20;80;27;9.392;2.4;3.1;639
1.9;22/04/2016;9.9;5.7;7.4;9.9;1019.1;10.1;16;40;22;9.182;0.9;1.3;403
